lat,lng,population
-21.4333,47.0833,184184
-25.0219,44.0749,174
-24.2162,45.3166,4286
-19.85,47.0333,307921
-14.8661,47.9834,21290
-18.0666,44.0167,5925
-17.8329,48.4167,43134
-22.8166,47.8332,24764
-22.3996,46.1167,16990
-20.2833,44.2833,36803
-25.0268,46.99,16818
-14.2662,50.1666,43465
7.103,171.38,25400
41.2406,20.5933,
41.9164,22.4128,
42.1981,21.8286,
41.6383,22.4647,
41.9547,21.4275,
41.9389,21.615,
41.4406,22.7278,
41.8542,22.4444,
41.5775,21.9428,
42.1564,21.5853,
41.7839,21.9056,
41.4672,21.1231,
42.0264,21.5619,
41.9158,21.5306,
41.0893,21.0109,
41.9236,20.9136,
41.8828,22.5092,
41.3028,20.8303,
41.1083,21.3786,
41.7156,21.7756,
41.4331,22.0119,
42.1322,21.7144,
41.1172,20.8019,
41.4375,22.6433,
41.5136,21.2153,
41.61,20.6,
41.178,20.6778,
42.102,21.3846,
41.4149,22.8816,
41.8841,21.5885,
41.1865,22.7203,
42,21.4335,494087
41.7423,22.1979,
42.0208,22.5876,
41.9945,21.58,
41.221,21.203,
41.9825,21.0624,
41.3451,21.555,
41.0391,21.3395,86528
41.3369,21.3311,
41.3694,21.2483,
41.4741,22.643,
41.796,20.9082,
41.8344,20.8856,
41.042,21.4587,
41.6487,21.6922,
42.0784,22.1807,
42.0019,22.1728,
41.5244,20.5242,
41.4788,20.5586,
41.5167,21.9458,
42.0724,21.1237,
41.4061,22.2463,
41.4846,22.0906,
41.4951,22.3836,
41.4258,21.454,
41.8667,21.9411,
41.3174,22.56,
41.5127,20.9589,
41.9654,22.7763,
42.0092,20.9701,119132
41.8715,22.2896,
41.8176,22.2353,
42.0767,21.0531,
42.2009,22.3324,
42.1686,22.1166,
41.7623,22.8892,
41.1417,22.5014,
41.2031,22.5756,
41.7031,22.8578,
41.9672,20.9808,
19.4549,0.8564,9000
12.65,-8,1494000
18.4411,1.4078,
16.9004,-0.35,30000
14.49,-4.18,108456
16.2666,-0.05,116967
12.617,-11.4066,706
12.8833,-7.55,23919
11.3204,-5.68,225753
18.9,-3.53,4026
13.44,-6.26,122952
16.7666,-3.0166,68872
13.6704,-6.07,53738
22.6666,-3.9834,3019
14.45,-11.44,77207
14.7337,-6.1333,4374
13.0504,-9.4833,46435
15.18,-7.28,18459
12.7504,-8.08,66895
11.9404,-8.44,17232
13.3004,-4.9,41386
11.4204,-7.49,35450
12.3904,-5.47,104927
13.9,-4.55,32944
15.1337,-10.5666,988
13.8004,-10.82,26823
15.2304,-9.59,14421
16.417,-3.6666,8456
15.9167,2.4,9110
20.2014,1.0888,6000
13.5504,-7.45,30591
16.7834,96.1667,4088000
19.3783,95.2279,57897
16.2618,97.7215,152300
16.5004,97.67,438861
16.2933,95.6829,65601
